Lol,Date,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
Segment:G,6/1/2007,2.2828,2.2501,2.1301,2.082,2.0825,2.1626,2.2125,2.3506,2.6704,3.209,3.5776,3.8794,4.4093,4.3872,4.5813,4.6124,4.4842,4.1576,3.851,3.5143,3.2315,3.1536,2.7896,2.4809
Segment:G,6/2/2007,2.5165,2.3353,2.2107,2.0982,2.0878,2.0436,1.9988,2.0615,2.3061,2.7918,3.3538,3.668,3.6725,3.7665,3.8084,3.7332,3.6811,3.5659,3.4151,3.0969,2.9694,3.0657,2.8027,2.4897
Segment:G,6/3/2007,2.3961,2.3127,2.1788,2.0631,2.0345,2.0362,1.8985,1.7933,1.8509,1.9999,2.2576,2.503,2.5854,2.5508,2.5578,2.2833,2.2132,2.1773,2.1736,2.2092,2.2436,2.2657,2.2422,2.1352
Segment:G,6/4/2007,1.996,1.8807,1.8606,1.8316,1.8621,1.9449,2.0665,2.2893,2.4738,2.9179,3.3731,3.7096,3.7754,3.8952,3.9118,3.9474,4.0617,3.8008,3.4081,2.9979,2.8058,2.6218,2.4219,2.2604
Segment:G,6/5/2007,2.1453,2.1209,2.0695,2.0319,1.9972,2.0537,2.0806,2.2883,2.5536,3.1853,3.6113,3.6995,3.6401,3.8549,3.8193,3.9272,3.8785,3.5771,3.329,2.9674,2.734,2.5706,2.3456,2.1881
Segment:G,6/6/2007,2.1038,2.0193,1.9696,1.879,1.884,1.9395,1.9771,2.2061,2.3572,2.8483,3.2589,3.5566,3.5799,3.6124,3.6072,3.6275,3.6484,3.3808,3.0169,2.9094,2.8004,2.7125,2.3763,2.1025
Segment:G,6/7/2007,2.0536,1.933,1.8657,1.8385,1.8337,1.8598,1.9007,2.0931,2.3226,2.9567,3.4543,3.655,3.8428,4.0145,4.2235,4.401,4.4491,4.136,3.8129,3.6145,3.2893,3.0989,2.7734,2.4762
Segment:G,6/8/2007,2.3315,2.2741,2.2125,2.1512,2.1536,2.2142,2.2077,2.4668,2.8847,3.4504,4.1174,4.8258,4.8973,5.1514,5.3464,5.2648,5.089,4.7627,4.3585,3.9521,3.6352,3.6043,3.2754,2.8935
Segment:G,6/9/2007,2.7349,2.5963,2.4203,2.3624,2.3341,2.2375,2.152,2.1611,2.5191,2.8759,3.2997,3.5919,3.5825,3.7264,3.5774,3.6671,3.6907,3.5203,3.3746,3.1839,3.0076,2.986,2.8548,2.6558
Segment:G,6/10/2007,2.5394,2.3346,2.2021,2.1523,2.1552,2.1044,2.051,2.0847,2.0043,2.1791,2.5774,2.6342,2.9515,2.9757,2.8141,2.6356,2.6291,2.6717,2.6428,2.582,2.6041,2.7157,2.4307,2.1884
Segment:G,6/11/2007,2.1007,2.036,1.9754,1.941,1.9862,2.0737,2.1577,2.3341,2.5148,3.2915,3.6722,4.0207,4.144,4.3339,4.3653,4.3702,4.361,4.0878,3.5841,3.2649,3.104,2.9973,2.7414,2.5374
Segment:G,6/12/2007,2.3415,2.2216,2.172,2.1195,2.1213,2.1298,2.0992,2.3213,2.579,3.2768,3.8363,4.2156,4.3568,4.5541,4.6065,4.4965,4.4597,4.1909,3.6785,3.1171,3.0095,3.0771,2.7232,2.4895
Segment:G,6/13/2007,2.4088,2.2599,2.222,2.1863,2.1628,2.1958,2.2939,2.4142,2.7228,3.2644,3.6552,4.1381,4.1849,4.3288,4.3435,4.4064,4.3314,3.8159,3.4853,3.158,3.0769,2.9508,2.6612,2.2919
Segment:G,6/14/2007,2.1706,2.1351,2.0886,2.0496,2.0418,2.1373,2.2416,2.2743,2.4673,2.9344,3.2361,3.4062,3.5494,3.5314,3.5039,3.4545,3.5205,3.451,3.1268,2.6761,2.725,2.5939,2.375,2.2071
Segment:G,6/15/2007,2.054,2.003,1.9312,1.9099,1.9091,1.973,2.0879,2.2799,2.4308,2.8167,3.1177,3.2947,3.3505,3.4687,3.5712,3.5433,3.4565,3.2417,2.907,2.6422,2.6178,2.6808,2.5217,2.2692
Segment:G,6/16/2007,2.0956,2.0433,1.971,1.9594,1.9316,1.9126,1.7842,1.7688,2.1215,2.4974,2.7178,2.7744,2.8995,2.959,2.9833,2.982,2.974,3.1302,3.0528,2.9463,2.7672,2.8113,2.649,2.4415
Segment:G,6/17/2007,2.2401,2.063,2.0311,2.0016,1.9038,1.9013,1.752,1.6946,1.9513,2.2967,2.6724,2.8803,3.087,3.1742,3.2464,3.3066,3.3406,3.3629,3.2639,2.999,3.1101,3.1615,2.8681,2.6321
Segment:G,6/18/2007,2.4332,2.2919,2.2027,2.1675,2.1769,2.2062,2.3269,2.5765,3.0308,3.6714,4.2617,4.6494,4.9143,5.0313,5.048,5.1568,5.1103,4.7029,4.2328,3.9305,3.7148,3.6885,3.2473,2.8115
Segment:G,6/19/2007,2.6909,2.579,2.4485,2.3858,2.3204,2.418,2.4713,2.6725,2.8483,3.603,4.2426,4.5875,4.8504,5.152,5.2437,5.343,5.2181,4.7601,4.2072,3.677,3.5816,3.3978,3.1045,2.8308
