Name,Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Segment:GL,1/1/2009,56.9862,56.1327,55.0365,54.3603,55.1831,57.4111,59.0095,59.1283,60.0033,61.1837,61.4742,61.6748,60.4069,59.3225,58.7293,57.5783,58.0335,62.2599,62.03,60.9966,59.3942,57.8716,55.8397,54.2027
Segment:GL,1/2/2009,53.6625,52.9407,53.0278,54.7327,57.8458,61.333,67.5155,72.3579,74.4911,77.562,78.5802,77.4276,76.3064,74.7522,69.2381,66.5914,65.9091,68.7923,67.5798,65.5743,63.0573,59.4355,55.8378,52.8461
Segment:GL,1/3/2009,51.3278,50.6429,50.7692,50.6437,51.2651,52.6243,55.6941,58.3813,58.3167,60.9237,61.1201,60.741,60.5473,58.7581,56.6722,55.5342,56.4115,60.7175,61.3659,60.885,60.3634,57.6951,55.5167,54.1277
Segment:GL,1/4/2009,52.1014,51.5188,51.8021,51.6027,52.107,53.1268,55.9425,57.0347,58.3249,59.1142,59.2809,59.682,59.5719,58.3203,56.9915,55.9828,57.7871,61.3426,60.1187,57.84,55.2429,53.8826,51.6739,50.597
Segment:GL,1/5/2009,49.0942,48.657,48.7347,49.6595,52.28,58.491,66.3418,74.2821,79.6035,82.8461,83.4079,81.3755,80.3083,78.8066,75.655,73.3931,71.6708,72.954,70.9418,67.5282,64.6895,59.6644,55.6972,52.3523
Segment:GL,1/6/2009,49.8613,49.4616,48.7528,49.8706,52.0286,58.0489,67.0746,75.1821,80.6254,83.6408,85.0484,85.3212,84.7575,84.2571,82.2964,79.8451,78.9245,77.9533,74.4707,71.9684,68.4892,62.9294,59.0258,55.21
Segment:GL,1/7/2009,52.7914,52.1561,51.7612,52.7349,54.1824,60.2171,71.003,78.6014,83.384,85.9166,85.0049,85.679,85.8766,84.3694,82.2436,79.4537,77.2016,76.9966,73.7679,70.7075,68.0305,62.3832,58.5478,54.2332
Segment:GL,1/8/2009,52.6602,52.1116,51.572,53.0589,54.6543,61.1001,70.3095,76.9779,81.8319,84.2172,84.6477,84.158,82.1467,80.9645,79.1016,77.0878,74.7871,77.676,75.1893,72.2231,69.3123,64.3504,60.323,57.0115
Segment:GL,1/9/2009,55.413,54.9274,54.8174,56.8139,58.6331,64.4898,73.9561,82.1691,87.1844,88.9793,88.6035,87.933,86.8292,84.1559,80.487,77.4279,74.8295,76.9753,74.7732,72.281,69.2042,64.7295,60.1623,57.7271
Segment:GL,1/10/2009,55.6717,54.2722,53.7322,53.4422,53.702,54.4823,57.4145,60.0474,60.7373,63.4333,64.5144,64.0802,63.1073,61.2974,60.6805,60.4861,63.2189,65.0048,64.4568,63.8574,62.4786,59.6323,56.3493,53.9181
Segment:GL,1/11/2009,51.9228,51.0328,50.7788,50.565,50.4808,51.5063,53.5496,55.0785,57.1699,59.83,61.3304,61.6781,61.0324,61.0397,61.0626,60.5184,61.502,64.8611,64.3052,61.0928,58.8023,57.7964,55.3887,54.2155
Segment:GL,1/12/2009,53.2963,53.5857,53.7802,55.7206,58.5014,65.7937,74.1739,82.3498,87.9664,88.7903,88.2996,87.9457,86.9151,84.2382,81.6612,77.4686,75.744,77.1012,75.1121,72.0042,69.6565,65.0998,60.3466,57.3042
Segment:GL,1/13/2009,55.3846,54.7437,54.8536,55.9416,57.3516,64.2866,73.2513,80.9199,86.0235,88.6202,89.1904,88.3549,85.4663,84.8556,81.4879,78.5248,76.7465,77.9075,74.6805,71.9237,69.1994,63.8911,59.5613,56.2275
Segment:GL,1/14/2009,54.6212,54.5114,55.2058,57.5355,60.3845,67.77,77.169,85.4002,91.185,93.4893,92.7844,91.0466,89.9801,87.5003,85.3019,83.0501,80.5151,82.4231,80.2749,76.9963,73.8747,68.1439,63.786,59.545
Segment:GL,1/15/2009,57.5345,57.5548,57.9153,59.1328,61.2584,68.5752,76.6414,83.7288,89.4925,93.1884,93.6658,92.3553,91.8973,90.351,88.3302,85.8482,84.7291,86.7858,85.9805,83.1853,79.9984,75.5147,70.6017,66.2108
