Season ID,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
AutSun,44.923,44.278,43.404,43.793,44.054,44.663,45.289,45.753,46.881,47.447,48.857,48.061,48.552,49.163,48.340,47.764,50.187,52.466,53.473,54.850,54.276,51.436,49.791,46.265
AutWkdy,45.299,44.405,44.096,43.611,44.817,46.206,50.081,58.081,61.922,61.308,60.797,60.318,59.490,59.853,59.112,56.649,55.987,55.217,57.682,58.633,57.177,54.100,51.791,47.923
AutSat,45.618,44.449,44.159,43.304,43.827,44.692,45.316,45.002,45.894,47.183,47.655,48.024,47.391,46.757,46.438,46.201,48.390,50.119,52.064,53.336,52.549,51.363,49.075,47.014
SprSun,46.418,45.625,45.070,45.325,44.559,44.147,43.614,42.814,44.785,46.594,46.780,46.000,47.498,47.687,47.089,47.258,48.013,48.263,49.187,49.973,52.433,53.266,51.079,48.681
SprWKdy,47.071,46.336,45.417,45.907,46.675,47.729,50.606,58.017,62.189,62.710,61.651,61.207,60.340,60.789,59.874,58.988,57.098,53.914,53.186,54.675,55.491,56.226,52.338,49.019
SprSat,47.568,46.155,45.674,44.874,45.441,45.164,43.581,44.418,46.748,48.745,49.257,47.734,47.907,47.331,46.519,45.885,47.113,46.985,48.129,50.036,51.738,52.451,50.878,48.328
SumSun,43.980,43.468,42.558,41.747,41.412,40.217,39.492,38.718,40.906,42.185,42.896,43.213,43.751,44.516,44.660,45.159,46.035,45.335,44.278,44.944,46.818,49.125,47.933,45.647
SumWkdy,45.469,43.707,43.224,42.738,41.493,42.218,44.350,48.862,54.108,55.761,56.503,57.609,58.031,58.548,59.230,57.098,54.913,52.430,50.355,49.742,51.696,53.165,50.958,47.369
SumSat,43.681,43.000,42.339,42.049,41.648,40.521,38.873,39.846,41.012,42.682,43.352,44.110,45.171,44.571,45.390,44.943,45.862,45.576,44.767,44.383,47.013,48.975,47.951,46.319
WinSun,50.417,49.263,48.763,47.641,48.120,48.479,49.087,49.546,49.795,51.433,51.725,50.637,51.179,50.898,50.232,50.002,52.748,56.208,57.979,58.360,57.349,55.118,53.761,52.192
WinWkDy,50.108,49.276,48.267,48.874,49.673,50.892,55.944,62.120,65.104,64.424,63.843,63.327,61.743,62.856,61.333,59.414,58.618,59.982,62.474,60.902,60.457,57.570,54.459,52.358
WinSat,50.043,49.546,49.313,48.242,48.984,48.647,49.751,51.410,51.617,52.572,53.694,52.096,51.822,50.356,50.660,51.090,52.965,55.747,58.734,58.087,57.482,56.628,54.598,52.376
