PROFILE,DATE,12:30am,1:00am,1:30am,2:00am,2:30am,3:00am,3:30am,4:00am,4:30am,5:00am,5:30am,6:00am,6:30am,7:00am,7:30am,8:00am,8:30am,9:00am,9:30am,10:00am,10:30am,11:00am,11:30am,12:00pm,12:30pm,1:00pm,1:30pm,2:00pm,2:30pm,3:00pm,3:30pm,4:00pm,4:30pm,5:00pm,5:30pm,6:00pm,6:30pm,7:00pm,7:30pm,8:00pm,8:30pm,9:00pm,9:30pm,10:00pm,10:30pm,11:00pm,11:30pm,12:00am
A10,1/1/2000,0.329980024,0.323031182,0.319878458,0.314233155,0.305829986,0.306297971,0.302428251,0.300468485,0.300900282,0.307689721,0.319772483,0.328394938,0.339505784,0.351031225,0.353887551,0.352274066,0.353820317,0.361037481,0.369017466,0.374562523,0.383894941,0.388168556,0.390721269,0.390406488,0.390340508,0.393413618,0.395805921,0.396065352,0.393418035,0.394081504,0.395764695,0.39678126,0.394855696,0.400075817,0.413324739,0.421833026,0.412356685,0.398273335,0.387426835,0.374993952,0.365304934,0.35945401,0.352338381,0.342996919,0.331392318,0.325301024,0.314851722,0.310578086
A10,1/2/2000,0.350412781,0.345857346,0.34077977,0.336395526,0.331242667,0.327561021,0.327080504,0.325508274,0.325081544,0.32733249,0.328831735,0.333383301,0.344066746,0.349866031,0.359248647,0.363784446,0.373105665,0.379769854,0.39185588,0.402217489,0.413713298,0.422861381,0.428209542,0.428307432,0.431050634,0.433366883,0.436249829,0.434492436,0.432001969,0.428873436,0.424817665,0.421449079,0.420766622,0.424687608,0.437164499,0.446076334,0.437062344,0.4227726,0.413110628,0.407834644,0.399078233,0.392494293,0.383084595,0.37737964,0.368344284,0.357972802,0.34786478,0.344104031
A10,1/3/2000,0.33484885,0.329203763,0.325911454,0.324218132,0.322744332,0.322872689,0.325462875,0.326519197,0.335918049,0.346757603,0.372956705,0.407209181,0.461229669,0.511378902,0.575297301,0.62917497,0.688395265,0.724876564,0.74279697,0.753978934,0.761553757,0.767698291,0.766325882,0.764811195,0.750730143,0.74942922,0.758114146,0.758788416,0.754368761,0.742046947,0.722445362,0.693582123,0.665982681,0.636818742,0.615680331,0.601646206,0.571845007,0.559289597,0.54236042,0.530241534,0.520956014,0.509350671,0.485282272,0.462738131,0.428520159,0.411860783,0.391836856,0.381976331
A10,1/4/2000,0.366614757,0.360536707,0.349565503,0.34710905,0.343706054,0.347522074,0.34858752,0.348301685,0.352516656,0.364572668,0.389696424,0.419840422,0.473883891,0.535343646,0.600911173,0.653504521,0.709740869,0.744983276,0.76168416,0.774888475,0.785893455,0.79233696,0.78822746,0.788176267,0.774946932,0.77541989,0.782372673,0.777398543,0.771714399,0.76252573,0.75156837,0.72856453,0.697070275,0.672085362,0.649880662,0.632422838,0.605511848,0.586647141,0.569791064,0.554977055,0.539593581,0.524028973,0.494848776,0.467340306,0.429415574,0.408064781,0.388299932,0.374209109
A10,1/5/2000,0.350879894,0.340563274,0.333898329,0.329966923,0.327303334,0.334733175,0.336474794,0.338610131,0.3475023,0.359174986,0.382106821,0.416246656,0.476351067,0.536070494,0.601582215,0.650153345,0.705144114,0.743250557,0.758528186,0.775812254,0.781781303,0.78440494,0.783056514,0.781534792,0.765170237,0.771080598,0.778215785,0.775657407,0.768645591,0.7613913,0.742871107,0.722598018,0.696637326,0.670804847,0.645137015,0.628706624,0.59787338,0.580743582,0.565617112,0.554952496,0.534253606,0.520972617,0.499427776,0.467234807,0.434207992,0.416301769,0.396134179,0.386016341
A10,1/6/2000,0.365027495,0.361501511,0.352500564,0.343820748,0.341547023,0.33996384,0.340074995,0.340595298,0.348132988,0.358566536,0.383095239,0.414938815,0.468268811,0.525954011,0.59624616,0.640251665,0.699667048,0.737434742,0.750953939,0.762130138,0.77170898,0.777891217,0.784006811,0.782659077,0.764178777,0.768589324,0.773050027,0.772426834,0.768077972,0.75778093,0.739322653,0.713451318,0.688157057,0.660485437,0.636755212,0.627704326,0.595673929,0.583201073,0.56895353,0.560641828,0.536357704,0.528528531,0.499271776,0.473167651,0.440494806,0.421554001,0.401619085,0.387281493
A10,1/7/2000,0.3796029,0.373515172,0.363886032,0.352563683,0.347309231,0.344648554,0.348059765,0.35048124,0.357321937,0.367362978,0.390944784,0.42316923,0.471107943,0.534240462,0.600742259,0.653428539,0.7067658,0.740465732,0.764241846,0.777733141,0.773334009,0.78541208,0.792835515,0.785676231,0.762896303,0.765865146,0.767122716,0.770566709,0.764316791,0.751513487,0.73520439,0.705628025,0.677710588,0.654521001,0.627299049,0.610786334,0.587737066,0.568653059,0.547275863,0.534523637,0.520906435,0.511116365,0.488818504,0.45893256,0.436660064,0.425240583,0.402180132,0.389597626
A10,1/8/2000,0.376876877,0.366378386,0.360091342,0.351913734,0.344993371,0.338985013,0.335902174,0.335082691,0.339124576,0.341376862,0.35355662,0.359812151,0.375457059,0.400129417,0.414104278,0.419169264,0.440165972,0.454026571,0.471161212,0.485749926,0.501069754,0.507961659,0.509330032,0.509766094,0.505194013,0.504786314,0.497373948,0.49024003,0.487976357,0.481937322,0.476455644,0.471155677,0.469928661,0.467645618,0.476960655,0.477608753,0.46958945,0.457612613,0.451565967,0.441498141,0.429550474,0.420364342,0.411592251,0.400531812,0.383761821,0.365572451,0.351295484,0.343253187
A10,1/9/2000,0.335710676,0.330374001,0.325329639,0.318905612,0.313839437,0.312109939,0.308690196,0.308796977,0.30785055,0.308354321,0.315716093,0.321012492,0.335856746,0.345253508,0.357988476,0.360898661,0.369681396,0.377590112,0.38967995,0.397451705,0.407493358,0.417339578,0.424848104,0.423741461,0.426054136,0.428593374,0.429274563,0.427489037,0.426878065,0.425896752,0.421134427,0.420933806,0.416678798,0.418448067,0.432858298,0.438696712,0.428204469,0.413971338,0.406365773,0.400856546,0.393623088,0.387350225,0.378017872,0.369924952,0.353880258,0.347902252,0.33660282,0.331892213
A10,1/10/2000,0.328502159,0.323684267,0.321181017,0.317617207,0.314603339,0.316032006,0.317441368,0.322146505,0.327375893,0.353174914,0.379521715,0.407674464,0.45903852,0.507042146,0.571315898,0.614217066,0.660635211,0.693646806,0.708876585,0.71738983,0.726583571,0.733438926,0.738061163,0.740002228,0.726098161,0.731783689,0.732100301,0.73054791,0.72446875,0.718588828,0.703540415,0.68328439,0.66150722,0.647771837,0.616124695,0.603235723,0.580815068,0.563886007,0.548282081,0.538810353,0.52138585,0.509395522,0.482331646,0.453623369,0.430604887,0.41432646,0.397289918,0.386290646
