Load Profile,       Date, 1:00 AM, 2:00 AM, 3:00 AM, 4:00 AM, 5:00 AM, 6:00 AM, 7:00 AM, 8:00 AM, 9:00 AM,10:00 AM,11:00 AM,12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM, 6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM,10:00 PM,11:00 PM,12:00 AM
PA-2        , 01/01/2015,   4.524,   4.503,   4.787,   4.669,   4.916,   4.956,   5.114,   5.587,   6.111,   6.335,   6.488,   6.836,   6.864,   6.487,   6.339,   6.133,   5.883,   5.871,   5.778,   5.800,   5.581,   5.498,   5.535,   5.557
PA-2        , 01/02/2015,   5.898,   5.854,   5.774,   5.736,   5.757,   5.940,   6.232,   6.874,   7.424,   7.787,   7.993,   7.918,   7.923,   7.830,   7.662,   7.225,   6.930,   6.471,   6.512,   6.407,   6.185,   6.111,   5.970,   5.947
PA-2        , 01/03/2015,   5.937,   5.800,   5.794,   5.717,   5.815,   5.892,   6.058,   6.373,   6.770,   7.105,   7.232,   7.444,   7.218,   6.918,   6.783,   6.470,   6.071,   5.802,   5.798,   5.687,   5.527,   5.443,   5.345,   5.158
PA-2        , 01/04/2015,   5.158,   5.120,   5.027,   5.009,   5.131,   5.270,   5.505,   5.565,   5.757,   5.984,   6.220,   6.394,   6.360,   6.096,   5.963,   5.744,   5.518,   5.541,   5.604,   5.603,   5.536,   5.437,   5.252,   5.098
PA-2        , 01/05/2015,   5.248,   5.157,   5.151,   5.160,   5.346,   5.391,   5.706,   6.521,   7.143,   7.347,   7.516,   7.734,   7.683,   7.602,   7.474,   6.901,   6.597,   6.311,   6.283,   6.349,   6.210,   6.117,   5.934,   5.676
PA-2        , 01/06/2015,   5.889,   5.885,   5.746,   5.621,   5.787,   5.992,   6.477,   7.074,   7.491,   7.667,   7.553,   7.704,   7.681,   7.531,   7.501,   7.081,   6.814,   6.581,   6.656,   6.770,   6.450,   6.273,   6.201,   6.095
PA-2        , 01/07/2015,   5.951,   6.013,   5.940,   5.853,   5.964,   6.083,   6.413,   7.011,   7.487,   7.744,   7.790,   7.947,   7.774,   7.554,   7.284,   7.132,   6.928,   6.718,   6.700,   6.788,   6.590,   6.475,   6.270,   6.125
PA-2        , 01/08/2015,   6.125,   6.000,   5.944,   5.877,   6.127,   6.173,   6.505,   7.142,   7.518,   7.766,   7.772,   7.761,   7.700,   7.596,   7.538,   7.182,   6.718,   6.448,   6.375,   6.359,   6.210,   6.127,   5.995,   5.821
PA-2        , 01/09/2015,   5.898,   5.854,   5.774,   5.736,   5.757,   5.940,   6.232,   6.874,   7.424,   7.787,   7.993,   7.918,   7.923,   7.830,   7.662,   7.225,   6.930,   6.471,   6.512,   6.407,   6.185,   6.111,   5.970,   5.947
PA-2        , 01/10/2015,   5.937,   5.800,   5.794,   5.717,   5.815,   5.892,   6.058,   6.373,   6.770,   7.105,   7.232,   7.444,   7.218,   6.918,   6.783,   6.470,   6.071,   5.802,   5.798,   5.687,   5.527,   5.443,   5.345,   5.158
PA-2        , 01/11/2015,   5.158,   5.120,   5.027,   5.009,   5.131,   5.270,   5.505,   5.565,   5.757,   5.984,   6.220,   6.394,   6.360,   6.096,   5.963,   5.744,   5.518,   5.541,   5.604,   5.603,   5.536,   5.437,   5.252,   5.098
PA-2        , 01/12/2015,   5.248,   5.157,   5.151,   5.160,   5.346,   5.391,   5.706,   6.521,   7.143,   7.347,   7.516,   7.734,   7.683,   7.602,   7.474,   6.901,   6.597,   6.311,   6.283,   6.349,   6.210,   6.117,   5.934,   5.676
