Load Profile,       Date, 1:00 AM, 2:00 AM, 3:00 AM, 4:00 AM, 5:00 AM, 6:00 AM, 7:00 AM, 8:00 AM, 9:00 AM,10:00 AM,11:00 AM,12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM, 6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM,10:00 PM,11:00 PM,12:00 AM
TOU-8-PRI   , 01/01/2015, 653.137, 648.033, 639.938, 640.261, 648.577, 662.978, 674.455, 656.909, 647.239, 645.708, 652.815, 654.978, 657.623, 664.051, 672.813, 681.747, 691.055, 715.840, 713.822, 708.996, 703.005, 696.909, 685.783, 678.936
TOU-8-PRI   , 01/02/2015, 821.809, 807.582, 794.047, 794.100, 817.265, 864.658, 924.386, 942.456, 953.458, 963.131, 974.938, 978.051, 973.674, 973.009, 964.332, 948.779, 934.346, 933.946, 911.032, 890.981, 873.127, 847.540, 815.017, 794.389
TOU-8-PRI   , 01/03/2015, 779.076, 765.665, 753.002, 747.875, 756.631, 774.648, 792.043, 768.818, 758.181, 763.123, 770.177, 773.406, 768.312, 765.361, 763.634, 763.072, 767.610, 786.916, 786.246, 777.777, 767.055, 753.978, 732.928, 720.285
TOU-8-PRI   , 01/04/2015, 699.360, 692.999, 684.928, 680.582, 685.041, 696.304, 707.408, 687.953, 679.710, 683.827, 690.156, 695.990, 698.675, 702.667, 706.794, 711.506, 722.787, 749.366, 751.668, 744.679, 739.296, 732.784, 726.004, 724.643
TOU-8-PRI   , 01/05/2015, 724.040, 719.763, 716.712, 728.843, 760.597, 818.120, 886.366, 913.126, 930.959, 940.476, 949.422, 951.296, 951.838, 952.746, 946.749, 938.051, 931.595, 939.362, 922.306, 903.609, 888.826, 868.025, 841.346, 826.718
TOU-8-PRI   , 01/06/2015, 803.243, 790.650, 779.101, 782.719, 807.859, 861.366, 924.918, 949.674, 966.014, 973.451, 982.584, 985.737, 984.851, 989.006, 981.758, 970.361, 960.017, 963.388, 941.912, 924.293, 906.917, 883.756, 854.563, 839.793
TOU-8-PRI   , 01/07/2015, 811.058, 798.212, 787.380, 790.278, 816.176, 868.483, 928.720, 951.376, 965.786, 975.503, 988.346, 991.222, 988.327, 990.855, 985.300, 972.343, 960.636, 964.677, 942.931, 922.818, 904.223, 881.802, 850.939, 838.623
TOU-8-PRI   , 01/08/2015, 822.188, 808.331, 795.475, 797.023, 820.796, 869.988, 933.456, 956.281, 969.615, 979.541, 993.216, 996.892, 991.838, 993.299, 987.196, 977.667, 965.118, 966.778, 942.730, 922.424, 905.652, 882.523, 850.841, 836.304
TOU-8-PRI   , 01/09/2015, 821.809, 807.582, 794.047, 794.100, 817.265, 864.658, 924.386, 942.456, 953.458, 963.131, 974.938, 978.051, 973.674, 973.009, 964.332, 948.779, 934.346, 933.946, 911.032, 890.981, 873.127, 847.540, 815.017, 794.389
TOU-8-PRI   , 01/10/2015, 779.076, 765.665, 753.002, 747.875, 756.631, 774.648, 792.043, 768.818, 758.181, 763.123, 770.177, 773.406, 768.312, 765.361, 763.634, 763.072, 767.610, 786.916, 786.246, 777.777, 767.055, 753.978, 732.928, 720.285
TOU-8-PRI   , 01/11/2015, 699.360, 692.999, 684.928, 680.582, 685.041, 696.304, 707.408, 687.953, 679.710, 683.827, 690.156, 695.990, 698.675, 702.667, 706.794, 711.506, 722.787, 749.366, 751.668, 744.679, 739.296, 732.784, 726.004, 724.643
TOU-8-PRI   , 01/12/2015, 724.040, 719.763, 716.712, 728.843, 760.597, 818.120, 886.366, 913.126, 930.959, 940.476, 949.422, 951.296, 951.838, 952.746, 946.749, 938.051, 931.595, 939.362, 922.306, 903.609, 888.826, 868.025, 841.346, 826.718
TOU-8-PRI   , 01/13/2015, 803.243, 790.650, 779.101, 782.719, 807.859, 861.366, 924.918, 949.674, 966.014, 973.451, 982.584, 985.737, 984.851, 989.006, 981.758, 970.361, 960.017, 963.388, 941.912, 924.293, 906.917, 883.756, 854.563, 839.793
TOU-8-PRI   , 01/14/2015, 811.058, 798.212, 787.380, 790.278, 816.176, 868.483, 928.720, 951.376, 965.786, 975.503, 988.346, 991.222, 988.327, 990.855, 985.300, 972.343, 960.636, 964.677, 942.931, 922.818, 904.223, 881.802, 850.939, 838.623
TOU-8-PRI   , 01/15/2015, 822.188, 808.331, 795.475, 797.023, 820.796, 869.988, 933.456, 956.281, 969.615, 979.541, 993.216, 996.892, 991.838, 993.299, 987.196, 977.667, 965.118, 966.778, 942.730, 922.424, 905.652, 882.523, 850.841, 836.304
TOU-8-PRI   , 01/16/2015, 821.809, 807.582, 794.047, 794.100, 817.265, 864.658, 924.386, 942.456, 953.458, 963.131, 974.938, 978.051, 973.674, 973.009, 964.332, 948.779, 934.346, 933.946, 911.032, 890.981, 873.127, 847.540, 815.017, 794.389
TOU-8-PRI   , 01/17/2015, 779.076, 765.665, 753.002, 747.875, 756.631, 774.648, 792.043, 768.818, 758.181, 763.123, 770.177, 773.406, 768.312, 765.361, 763.634, 763.072, 767.610, 786.916, 786.246, 777.777, 767.055, 753.978, 732.928, 720.285
TOU-8-PRI   , 01/18/2015, 699.360, 692.999, 684.928, 680.582, 685.041, 696.304, 707.408, 687.953, 679.710, 683.827, 690.156, 695.990, 698.675, 702.667, 706.794, 711.506, 722.787, 749.366, 751.668, 744.679, 739.296, 732.784, 726.004, 724.643
TOU-8-PRI   , 01/19/2015, 724.040, 719.763, 716.712, 728.843, 760.597, 818.120, 886.366, 913.126, 930.959, 940.476, 949.422, 951.296, 951.838, 952.746, 946.749, 938.051, 931.595, 939.362, 922.306, 903.609, 888.826, 868.025, 841.346, 826.718
TOU-8-PRI   , 01/20/2015, 803.243, 790.650, 779.101, 782.719, 807.859, 861.366, 924.918, 949.674, 966.014, 973.451, 982.584, 985.737, 984.851, 989.006, 981.758, 970.361, 960.017, 963.388, 941.912, 924.293, 906.917, 883.756, 854.563, 839.793
TOU-8-PRI   , 01/21/2015, 811.058, 798.212, 787.380, 790.278, 816.176, 868.483, 928.720, 951.376, 965.786, 975.503, 988.346, 991.222, 988.327, 990.855, 985.300, 972.343, 960.636, 964.677, 942.931, 922.818, 904.223, 881.802, 850.939, 838.623
TOU-8-PRI   , 01/22/2015, 822.188, 808.331, 795.475, 797.023, 820.796, 869.988, 933.456, 956.281, 969.615, 979.541, 993.216, 996.892, 991.838, 993.299, 987.196, 977.667, 965.118, 966.778, 942.730, 922.424, 905.652, 882.523, 850.841, 836.304
TOU-8-PRI   , 01/23/2015, 821.809, 807.582, 794.047, 794.100, 817.265, 864.658, 924.386, 942.456, 953.458, 963.131, 974.938, 978.051, 973.674, 973.009, 964.332, 948.779, 934.346, 933.946, 911.032, 890.981, 873.127, 847.540, 815.017, 794.389
TOU-8-PRI   , 01/24/2015, 779.076, 765.665, 753.002, 747.875, 756.631, 774.648, 792.043, 768.818, 758.181, 763.123, 770.177, 773.406, 768.312, 765.361, 763.634, 763.072, 767.610, 786.916, 786.246, 777.777, 767.055, 753.978, 732.928, 720.285
TOU-8-PRI   , 01/25/2015, 699.360, 692.999, 684.928, 680.582, 685.041, 696.304, 707.408, 687.953, 679.710, 683.827, 690.156, 695.990, 698.675, 702.667, 706.794, 711.506, 722.787, 749.366, 751.668, 744.679, 739.296, 732.784, 726.004, 724.643
TOU-8-PRI   , 01/26/2015, 724.040, 719.763, 716.712, 728.843, 760.597, 818.120, 886.366, 913.126, 930.959, 940.476, 949.422, 951.296, 951.838, 952.746, 946.749, 938.051, 931.595, 939.362, 922.306, 903.609, 888.826, 868.025, 841.346, 826.718
TOU-8-PRI   , 01/27/2015, 803.243, 790.650, 779.101, 782.719, 807.859, 861.366, 924.918, 949.674, 966.014, 973.451, 982.584, 985.737, 984.851, 989.006, 981.758, 970.361, 960.017, 963.388, 941.912, 924.293, 906.917, 883.756, 854.563, 839.793
TOU-8-PRI   , 01/28/2015, 811.058, 798.212, 787.380, 790.278, 816.176, 868.483, 928.720, 951.376, 965.786, 975.503, 988.346, 991.222, 988.327, 990.855, 985.300, 972.343, 960.636, 964.677, 942.931, 922.818, 904.223, 881.802, 850.939, 838.623
TOU-8-PRI   , 01/29/2015, 822.188, 808.331, 795.475, 797.023, 820.796, 869.988, 933.456, 956.281, 969.615, 979.541, 993.216, 996.892, 991.838, 993.299, 987.196, 977.667, 965.118, 966.778, 942.730, 922.424, 905.652, 882.523, 850.841, 836.304
TOU-8-PRI   , 01/30/2015, 821.809, 807.582, 794.047, 794.100, 817.265, 864.658, 924.386, 942.456, 953.458, 963.131, 974.938, 978.051, 973.674, 973.009, 964.332, 948.779, 934.346, 933.946, 911.032, 890.981, 873.127, 847.540, 815.017, 794.389
TOU-8-PRI   , 01/31/2015, 779.076, 765.665, 753.002, 747.875, 756.631, 774.648, 792.043, 768.818, 758.181, 763.123, 770.177, 773.406, 768.312, 765.361, 763.634, 763.072, 767.610, 786.916, 786.246, 777.777, 767.055, 753.978, 732.928, 720.285
TOU-8-PRI   , 02/01/2015, 703.291, 695.642, 685.469, 680.157, 684.399, 695.842, 699.662, 677.715, 671.486, 676.704, 684.020, 690.160, 693.806, 697.548, 701.129, 702.721, 709.760, 734.716, 753.632, 746.849, 740.456, 734.796, 725.775, 726.436
TOU-8-PRI   , 02/02/2015, 722.984, 718.134, 715.682, 730.819, 764.648, 824.911, 891.202, 923.636, 945.037, 958.016, 966.960, 971.302, 969.179, 970.809, 963.312, 948.228, 933.688, 935.996, 931.451, 914.000, 898.090, 875.457, 844.572, 829.801
TOU-8-PRI   , 02/03/2015, 805.948, 792.974, 781.142, 783.453, 810.657, 866.142, 923.381, 951.121, 971.415, 977.466, 983.326, 984.559, 979.406, 979.445, 971.667, 958.319, 943.005, 946.440, 944.166, 926.086, 907.271, 884.350, 854.641, 839.201
TOU-8-PRI   , 02/04/2015, 820.934, 805.405, 791.862, 792.988, 818.988, 871.102, 924.997, 952.238, 970.648, 980.967, 987.291, 986.984, 984.632, 985.439, 977.772, 961.824, 948.821, 951.171, 948.419, 930.690, 912.261, 886.835, 853.929, 839.032
TOU-8-PRI   , 02/05/2015, 823.542, 810.156, 795.664, 797.025, 822.410, 872.764, 930.017, 955.283, 972.825, 984.501, 994.250, 995.538, 990.072, 993.130, 987.435, 971.707, 956.833, 956.687, 950.719, 931.758, 911.465, 886.060, 851.973, 836.773
TOU-8-PRI   , 02/06/2015, 819.231, 805.136, 790.388, 790.369, 814.856, 861.764, 916.659, 936.235, 949.471, 962.036, 973.083, 972.930, 967.923, 967.212, 957.872, 939.865, 920.152, 914.432, 904.208, 885.670, 868.120, 844.033, 809.600, 785.572
TOU-8-PRI   , 02/07/2015, 768.340, 755.712, 742.129, 735.135, 745.034, 763.621, 774.198, 753.254, 749.769, 757.055, 764.290, 765.527, 762.571, 760.705, 756.758, 755.799, 755.495, 771.239, 783.594, 773.624, 762.387, 748.400, 725.794, 713.015
TOU-8-PRI   , 02/08/2015, 703.291, 695.642, 685.469, 680.157, 684.399, 695.842, 699.662, 677.715, 671.486, 676.704, 684.020, 690.160, 693.806, 697.548, 701.129, 702.721, 709.760, 734.716, 753.632, 746.849, 740.456, 734.796, 725.775, 726.436
TOU-8-PRI   , 02/09/2015, 722.984, 718.134, 715.682, 730.819, 764.648, 824.911, 891.202, 923.636, 945.037, 958.016, 966.960, 971.302, 969.179, 970.809, 963.312, 948.228, 933.688, 935.996, 931.451, 914.000, 898.090, 875.457, 844.572, 829.801
TOU-8-PRI   , 02/10/2015, 805.948, 792.974, 781.142, 783.453, 810.657, 866.142, 923.381, 951.121, 971.415, 977.466, 983.326, 984.559, 979.406, 979.445, 971.667, 958.319, 943.005, 946.440, 944.166, 926.086, 907.271, 884.350, 854.641, 839.201
TOU-8-PRI   , 02/11/2015, 820.934, 805.405, 791.862, 792.988, 818.988, 871.102, 924.997, 952.238, 970.648, 980.967, 987.291, 986.984, 984.632, 985.439, 977.772, 961.824, 948.821, 951.171, 948.419, 930.690, 912.261, 886.835, 853.929, 839.032
TOU-8-PRI   , 02/12/2015, 823.542, 810.156, 795.664, 797.025, 822.410, 872.764, 930.017, 955.283, 972.825, 984.501, 994.250, 995.538, 990.072, 993.130, 987.435, 971.707, 956.833, 956.687, 950.719, 931.758, 911.465, 886.060, 851.973, 836.773
TOU-8-PRI   , 02/13/2015, 819.231, 805.136, 790.388, 790.369, 814.856, 861.764, 916.659, 936.235, 949.471, 962.036, 973.083, 972.930, 967.923, 967.212, 957.872, 939.865, 920.152, 914.432, 904.208, 885.670, 868.120, 844.033, 809.600, 785.572
