Load Profile,       Date, 1:00 AM, 2:00 AM, 3:00 AM, 4:00 AM, 5:00 AM, 6:00 AM, 7:00 AM, 8:00 AM, 9:00 AM,10:00 AM,11:00 AM,12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM, 6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM,10:00 PM,11:00 PM,12:00 AM
TOU-GS      , 01/01/2015,  74.226,  73.105,  72.823,  73.310,  75.399,  79.691,  85.912,  86.361,  88.496,  89.580,  91.079,  91.858,  92.712,  93.340,  93.710,  93.750,  95.100,  99.276,  96.428,  93.777,  90.939,  86.797,  81.965,  77.970
TOU-GS      , 01/02/2015,  88.317,  85.525,  84.099,  84.734,  90.045, 102.777, 122.641, 135.442, 145.704, 149.543, 152.908, 154.190, 154.301, 155.482, 152.420, 145.083, 138.080, 135.161, 126.107, 119.838, 114.858, 107.067,  97.868,  90.120
TOU-GS      , 01/03/2015,  84.790,  82.101,  80.582,  80.387,  82.454,  88.233,  96.520,  97.737, 101.018, 103.420, 105.488, 105.952, 105.225, 103.255, 101.478, 100.104, 100.154, 103.722, 102.246,  99.919,  96.893,  91.638,  85.223,  80.293
TOU-GS      , 01/04/2015,  76.631,  75.117,  74.506,  74.525,  75.725,  78.673,  83.498,  84.007,  86.130,  87.726,  89.533,  91.214,  91.848,  92.041,  92.140,  92.354,  93.838,  98.559,  97.776,  95.183,  90.846,  86.570,  82.491,  79.544
TOU-GS      , 01/05/2015,  77.564,  76.621,  76.901,  78.677,  85.292,  99.735, 120.640, 134.492, 145.003, 148.128, 150.764, 151.512, 151.551, 152.376, 149.925, 143.600, 137.165, 134.953, 126.907, 121.112, 116.282, 108.782, 100.190,  93.069
TOU-GS      , 01/06/2015,  87.273,  84.750,  83.669,  84.548,  90.095, 103.872, 125.210, 139.701, 150.758, 153.749, 156.669, 157.896, 158.305, 159.595, 156.938, 149.770, 142.107, 139.093, 130.081, 123.813, 118.506, 110.402, 101.366,  93.938
TOU-GS      , 01/07/2015,  87.537,  85.026,  83.850,  84.737,  90.305, 104.012, 124.952, 138.723, 149.252, 152.783, 155.856, 157.288, 157.578, 158.705, 156.108, 149.497, 142.438, 139.373, 130.324, 124.017, 118.651, 110.415, 101.388,  93.840
TOU-GS      , 01/08/2015,  88.482,  85.739,  84.416,  85.045,  90.543, 104.074, 124.916, 138.543, 148.963, 152.919, 156.630, 158.479, 159.117, 160.863, 158.444, 151.433, 143.724, 140.149, 130.637, 124.049, 118.566, 110.223, 100.961,  93.519
TOU-GS      , 01/09/2015,  88.317,  85.525,  84.099,  84.734,  90.045, 102.777, 122.641, 135.442, 145.704, 149.543, 152.908, 154.190, 154.301, 155.482, 152.420, 145.083, 138.080, 135.161, 126.107, 119.838, 114.858, 107.067,  97.868,  90.120
TOU-GS      , 01/10/2015,  84.790,  82.101,  80.582,  80.387,  82.454,  88.233,  96.520,  97.737, 101.018, 103.420, 105.488, 105.952, 105.225, 103.255, 101.478, 100.104, 100.154, 103.722, 102.246,  99.919,  96.893,  91.638,  85.223,  80.293
TOU-GS      , 01/11/2015,  76.631,  75.117,  74.506,  74.525,  75.725,  78.673,  83.498,  84.007,  86.130,  87.726,  89.533,  91.214,  91.848,  92.041,  92.140,  92.354,  93.838,  98.559,  97.776,  95.183,  90.846,  86.570,  82.491,  79.544
TOU-GS      , 01/12/2015,  77.564,  76.621,  76.901,  78.677,  85.292,  99.735, 120.640, 134.492, 145.003, 148.128, 150.764, 151.512, 151.551, 152.376, 149.925, 143.600, 137.165, 134.953, 126.907, 121.112, 116.282, 108.782, 100.190,  93.069
TOU-GS      , 01/13/2015,  87.273,  84.750,  83.669,  84.548,  90.095, 103.872, 125.210, 139.701, 150.758, 153.749, 156.669, 157.896, 158.305, 159.595, 156.938, 149.770, 142.107, 139.093, 130.081, 123.813, 118.506, 110.402, 101.366,  93.938
TOU-GS      , 01/14/2015,  87.537,  85.026,  83.850,  84.737,  90.305, 104.012, 124.952, 138.723, 149.252, 152.783, 155.856, 157.288, 157.578, 158.705, 156.108, 149.497, 142.438, 139.373, 130.324, 124.017, 118.651, 110.415, 101.388,  93.840
TOU-GS      , 01/15/2015,  88.482,  85.739,  84.416,  85.045,  90.543, 104.074, 124.916, 138.543, 148.963, 152.919, 156.630, 158.479, 159.117, 160.863, 158.444, 151.433, 143.724, 140.149, 130.637, 124.049, 118.566, 110.223, 100.961,  93.519
TOU-GS      , 01/16/2015,  88.317,  85.525,  84.099,  84.734,  90.045, 102.777, 122.641, 135.442, 145.704, 149.543, 152.908, 154.190, 154.301, 155.482, 152.420, 145.083, 138.080, 135.161, 126.107, 119.838, 114.858, 107.067,  97.868,  90.120
TOU-GS      , 01/17/2015,  84.790,  82.101,  80.582,  80.387,  82.454,  88.233,  96.520,  97.737, 101.018, 103.420, 105.488, 105.952, 105.225, 103.255, 101.478, 100.104, 100.154, 103.722, 102.246,  99.919,  96.893,  91.638,  85.223,  80.293
TOU-GS      , 01/18/2015,  76.631,  75.117,  74.506,  74.525,  75.725,  78.673,  83.498,  84.007,  86.130,  87.726,  89.533,  91.214,  91.848,  92.041,  92.140,  92.354,  93.838,  98.559,  97.776,  95.183,  90.846,  86.570,  82.491,  79.544
TOU-GS      , 01/19/2015,  77.564,  76.621,  76.901,  78.677,  85.292,  99.735, 120.640, 134.492, 145.003, 148.128, 150.764, 151.512, 151.551, 152.376, 149.925, 143.600, 137.165, 134.953, 126.907, 121.112, 116.282, 108.782, 100.190,  93.069
TOU-GS      , 01/20/2015,  87.273,  84.750,  83.669,  84.548,  90.095, 103.872, 125.210, 139.701, 150.758, 153.749, 156.669, 157.896, 158.305, 159.595, 156.938, 149.770, 142.107, 139.093, 130.081, 123.813, 118.506, 110.402, 101.366,  93.938
TOU-GS      , 01/21/2015,  87.537,  85.026,  83.850,  84.737,  90.305, 104.012, 124.952, 138.723, 149.252, 152.783, 155.856, 157.288, 157.578, 158.705, 156.108, 149.497, 142.438, 139.373, 130.324, 124.017, 118.651, 110.415, 101.388,  93.840
TOU-GS      , 01/22/2015,  88.482,  85.739,  84.416,  85.045,  90.543, 104.074, 124.916, 138.543, 148.963, 152.919, 156.630, 158.479, 159.117, 160.863, 158.444, 151.433, 143.724, 140.149, 130.637, 124.049, 118.566, 110.223, 100.961,  93.519
TOU-GS      , 01/23/2015,  88.317,  85.525,  84.099,  84.734,  90.045, 102.777, 122.641, 135.442, 145.704, 149.543, 152.908, 154.190, 154.301, 155.482, 152.420, 145.083, 138.080, 135.161, 126.107, 119.838, 114.858, 107.067,  97.868,  90.120
TOU-GS      , 01/24/2015,  84.790,  82.101,  80.582,  80.387,  82.454,  88.233,  96.520,  97.737, 101.018, 103.420, 105.488, 105.952, 105.225, 103.255, 101.478, 100.104, 100.154, 103.722, 102.246,  99.919,  96.893,  91.638,  85.223,  80.293
TOU-GS      , 01/25/2015,  76.631,  75.117,  74.506,  74.525,  75.725,  78.673,  83.498,  84.007,  86.130,  87.726,  89.533,  91.214,  91.848,  92.041,  92.140,  92.354,  93.838,  98.559,  97.776,  95.183,  90.846,  86.570,  82.491,  79.544
TOU-GS      , 01/26/2015,  77.564,  76.621,  76.901,  78.677,  85.292,  99.735, 120.640, 134.492, 145.003, 148.128, 150.764, 151.512, 151.551, 152.376, 149.925, 143.600, 137.165, 134.953, 126.907, 121.112, 116.282, 108.782, 100.190,  93.069
TOU-GS      , 01/27/2015,  87.273,  84.750,  83.669,  84.548,  90.095, 103.872, 125.210, 139.701, 150.758, 153.749, 156.669, 157.896, 158.305, 159.595, 156.938, 149.770, 142.107, 139.093, 130.081, 123.813, 118.506, 110.402, 101.366,  93.938
TOU-GS      , 01/28/2015,  87.537,  85.026,  83.850,  84.737,  90.305, 104.012, 124.952, 138.723, 149.252, 152.783, 155.856, 157.288, 157.578, 158.705, 156.108, 149.497, 142.438, 139.373, 130.324, 124.017, 118.651, 110.415, 101.388,  93.840
TOU-GS      , 01/29/2015,  88.482,  85.739,  84.416,  85.045,  90.543, 104.074, 124.916, 138.543, 148.963, 152.919, 156.630, 158.479, 159.117, 160.863, 158.444, 151.433, 143.724, 140.149, 130.637, 124.049, 118.566, 110.223, 100.961,  93.519
TOU-GS      , 01/30/2015,  88.317,  85.525,  84.099,  84.734,  90.045, 102.777, 122.641, 135.442, 145.704, 149.543, 152.908, 154.190, 154.301, 155.482, 152.420, 145.083, 138.080, 135.161, 126.107, 119.838, 114.858, 107.067,  97.868,  90.120
TOU-GS      , 01/31/2015,  84.790,  82.101,  80.582,  80.387,  82.454,  88.233,  96.520,  97.737, 101.018, 103.420, 105.488, 105.952, 105.225, 103.255, 101.478, 100.104, 100.154, 103.722, 102.246,  99.919,  96.893,  91.638,  85.223,  80.293
TOU-GS      , 02/01/2015,  77.310,  75.721,  74.981,  74.975,  76.321,  79.429,  83.422,  83.771,  86.113,  87.788,  89.806,  91.572,  92.297,  92.529,  92.460,  92.273,  92.794,  96.369,  98.067,  95.600,  91.296,  87.013,  82.838,  79.777
TOU-GS      , 02/02/2015,  77.550,  76.613,  77.015,  78.848,  85.697, 100.358, 121.037, 135.290, 146.599, 150.333, 153.406, 154.451, 154.578, 155.695, 153.039, 145.913, 138.527, 135.040, 128.857, 122.899, 117.795, 109.874, 100.995,  93.740
TOU-GS      , 02/03/2015,  87.673,  85.089,  83.904,  84.622,  90.280, 104.119, 124.937, 139.802, 151.261, 154.226, 156.492, 156.998, 156.709, 157.530, 154.549, 147.230, 139.619, 136.338, 130.260, 124.305, 119.125, 110.882, 101.700,  94.265
TOU-GS      , 02/04/2015,  88.916,  86.131,  84.770,  85.456,  90.998, 104.714, 125.390, 139.878, 151.203, 154.736, 157.680, 158.567, 158.566, 159.371, 156.431, 149.208, 141.479, 137.661, 131.350, 125.163, 119.744, 111.291, 102.196,  94.478
